Datetime,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2024-02-19,68.407425,66.86542,64.87041,65.87149,64.07664,69.41957,80.70724,89.24388,93.61295,90.34743,90.43913,80.22985,69.714195,71.144135,68.08836,79.91355,98.880516,106.696205,111.13411,101.90828,98.51076,88.33525,84.47089,75.91523
2024-02-20,72.43002,70.4325,68.49974,69.162094,68.0574,74.18207,86.06267,96.31398,103.73249,102.35836,102.97935,93.00438,84.06382,85.030136,79.780495,87.937386,104.06628,109.33385,114.95182,104.47855,100.81039,89.48292,85.03744,78.693596
2024-02-21,76.184944,72.79642,69.958046,69.39261,69.31456,77.65321,90.81279,103.15559,112.975296,113.102234,114.72651,105.776825,98.654976,99.78063,92.389496,96.97494,110.551,113.21721,120.33555,109.2521,106.6009,94.10836,88.62124,83.471466
2024-02-22,75.75027,71.788155,68.76078,68.213745,67.92684,78.09737,91.5847,104.7172,112.731995,112.27874,113.20204,104.26383,96.98393,97.88311,91.11824,97.27934,111.0862,113.849724,121.11717,111.435196,110.46703,99.16833,93.101425,87.35137
2024-02-23,79.061066,77.04756,74.375465,73.80513,73.57612,83.011055,95.21474,104.74999,108.064026,103.798645,102.8266,95.3731,87.78069,90.08046,86.890755,95.609535,110.154236,113.65927,117.44361,109.50485,108.81725,101.4661,97.445755,91.04325
2024-02-24,75.76699,76.29135,74.73842,75.894745,73.614006,76.51963,84.75381,90.54263,93.47426,90.722595,91.95421,85.838005,79.28301,82.224754,79.90147,86.5581,98.921295,104.18002,107.635925,101.471596,99.16345,91.39795,88.23585,81.28677
2024-02-25,73.566086,73.537384,70.9159,71.20908,68.91561,71.691864,79.923134,86.380035,91.11414,91.10205,95.397095,92.589005,89.38026,93.76833,89.08567,89.66141,98.46997,101.75879,107.62396,102.31033,101.757195,91.51612,87.49261,79.76568
2024-02-26,76.54833,74.21414,71.42695,70.73786,69.967705,77.72181,89.568726,99.210144,103.92961,101.1162,101.812614,94.17133,86.3429,88.649086,84.69402,92.9459,108.2775,112.67988,117.33679,108.71103,107.226326,97.83371,93.36428,86.389786
2024-02-27,83.01351,80.92901,78.40297,77.48608,77.005196,84.88977,96.60998,106.34494,111.38622,107.63882,107.05715,98.54047,90.55328,92.379425,89.06184,97.895546,112.13562,115.6622,119.169464,110.20212,107.96656,100.38704,96.22261,91.27513
2024-02-28,83.706474,82.20856,80.84237,80.99327,81.841866,90.35443,102.061714,112.504326,120.49135,118.2051,117.80466,108.0171,100.34814,101.13517,95.775185,102.81202,114.906075,116.07648,119.58206,107.89753,103.511444,94.76821,89.90971,88.81242
2024-02-29,78.8898,75.78828,72.70962,72.07712,71.62366,81.63307,93.89742,104.8872,109.5549,107.5483,107.99493,101.29713,95.03382,96.98653,92.12306,98.22376,110.77753,113.482155,119.3954,112.331314,112.93883,104.1691,98.93992,92.295074
2024-03-01,87.49952,84.9136,82.58697,81.84166,81.5479,89.47525,100.78182,110.70357,116.410324,113.38469,112.81209,103.93195,95.96898,96.94809,93.27084,101.616844,114.82066,118.09165,121.904236,113.26758,110.94097,103.49986,98.988754,94.79735
2024-03-02,80.33317,79.628845,77.331085,77.783226,75.89244,80.168526,88.791954,96.19334,100.875916,99.84212,102.00911,97.026306,92.48432,95.281456,91.28282,94.30242,103.218155,106.42037,111.58207,106.26683,105.42338,97.20334,93.01341,86.86209
2024-03-03,74.672424,75.24268,73.64627,74.55271,71.14994,72.138504,79.07943,84.21107,86.53636,85.604904,89.03807,85.25513,80.08772,83.79211,81.17987,85.76997,97.50973,103.202415,107.68025,103.00604,101.79958,92.694595,89.2898,80.68525
2024-03-04,83.81751,83.40254,81.885376,81.90023,81.92404,88.39763,98.67754,105.16609,107.973175,102.14518,100.65667,91.841644,82.45722,84.50042,83.19803,94.62411,110.2946,114.98454,115.764275,106.522835,102.56607,96.5702,93.6744,89.16066
2024-03-05,82.92093,80.48744,77.94986,77.26117,77.17313,85.67946,97.215096,106.28967,110.320885,106.4302,106.00199,97.76213,89.35847,91.067406,87.96733,97.473885,112.37938,116.48064,119.92253,111.53814,109.7637,102.13945,97.82965,92.09915
2024-03-06,84.04339,83.41381,81.757835,81.65816,81.25834,86.737595,96.941765,104.060425,108.4413,103.47304,102.51685,93.11213,83.83376,85.61439,83.73363,94.43823,109.55649,114.2913,115.71791,106.07874,101.52769,94.83829,91.661415,87.56296
2024-03-07,83.20228,82.054756,80.09993,79.70272,79.367226,85.134056,95.874954,103.801834,109.23588,105.09693,104.695114,95.45353,86.52107,88.309906,85.52118,95.123116,110.16669,114.61854,116.94672,106.92007,102.57472,94.78281,91.310005,86.942276
2024-03-08,74.510414,74.76392,73.54793,75.2828,74.92017,80.12096,90.70198,97.59341,102.63556,97.18896,95.311066,83.7258,73.14876,74.36907,72.22288,84.17533,100.26738,106.154236,107.817635,97.239456,91.32699,84.09184,81.14632,76.8764
2024-03-09,61.514526,61.662636,59.43519,61.117096,58.358177,60.91346,71.15281,78.10538,82.74392,80.04317,81.31831,73.04191,64.58803,67.566246,64.269035,72.401405,88.91015,96.70082,101.81217,93.766335,90.50326,79.75508,76.77377,67.00657
2024-03-10,59.566902,57.87211,54.164604,54.356865,51.02198,54.25344,64.95635,74.37586,81.455185,84.34701,90.278145,87.75706,84.792366,89.30693,81.698044,79.8419,91.53308,96.40685,106.71199,100.89396,101.99905,86.65415,82.07911,69.71011
2024-03-11,87.58934,84.49879,82.61263,82.299355,81.30676,88.655426,99.48327,110.88932,118.389915,118.379745,119.20302,110.760864,104.04221,104.20386,98.64996,104.26043,115.60738,118.08462,123.98774,115.65143,113.8331,104.55931,99.03066,95.22275
2024-03-12,88.55097,86.478035,84.79483,84.47513,85.09298,92.71726,103.910965,114.02196,122.381516,120.82927,120.981995,112.01059,104.90837,105.59059,100.12149,105.69683,116.944275,118.34584,122.40023,111.75783,107.83932,98.9681,94.26613,92.493706
2024-03-13,69.8506,67.9575,65.45666,66.34929,65.87432,73.783295,85.9477,95.526184,101.22921,98.87464,99.17259,90.5744,82.55434,84.32762,79.37212,86.71706,101.63205,106.356476,111.994835,103.10216,101.14925,90.82523,86.4542,79.13319
2024-03-14,76.3916,75.224,73.536674,74.63738,74.57356,81.98747,92.71236,101.122604,106.23052,103.47636,103.62988,95.02313,87.08633,88.56444,84.40762,92.31731,105.65805,109.421265,113.36938,104.43482,101.53769,92.82639,88.37202,83.544846
2024-03-15,63.920998,63.528854,61.69565,64.177086,62.902542,69.15323,79.81528,87.31606,90.82065,87.701225,87.77711,79.21,70.765945,72.77747,69.17226,77.89224,93.02449,99.286156,104.197945,96.73271,94.62406,85.2322,81.3798,73.060394
2024-03-16,69.85714,71.58166,70.30024,72.11986,69.69863,70.224754,77.91466,82.19771,85.97252,82.88031,84.71481,77.69518,70.22932,73.64985,71.516594,78.80956,92.41302,98.8866,101.63545,93.944885,89.37716,80.55798,77.9885,71.046776
2024-03-17,58.245003,58.806374,56.647614,58.56005,54.857834,56.287727,65.40466,71.97555,76.17154,76.65496,80.52883,76.79466,72.02778,76.23454,71.22091,73.15679,86.53523,93.100494,100.6587,95.06929,94.517426,81.650215,78.59043,66.59551
2024-03-18,68.58721,68.9028,67.77661,70.31363,69.453445,74.06154,83.83468,90.254555,94.83528,91.27379,91.24868,81.34871,71.89682,73.48422,70.36492,80.23633,95.56125,101.799385,105.02807,95.76985,91.05325,82.04271,78.52134,72.550125
2024-03-19,63.323624,62.639465,60.751343,62.532616,61.286568,67.44085,78.534424,86.21611,89.77021,86.83359,87.50163,79.23243,70.35194,72.70226,68.96094,78.24399,95.34782,101.976,106.800804,98.29939,95.94055,85.4026,81.6076,72.6691
2024-03-20,87.66677,85.698364,83.63771,83.70076,83.57238,90.098946,99.981255,107.70373,112.76666,110.20265,110.45734,102.87656,95.53527,96.77398,93.18821,99.88595,111.88963,115.630554,119.39711,111.98994,109.652435,102.02033,97.971176,93.011986
2024-03-21,83.333496,82.40038,81.39252,82.45033,81.99988,86.63153,96.288025,102.86785,107.75569,104.28562,103.65135,93.89704,84.01367,84.66454,81.98287,92.10188,107.97129,113.977234,116.50773,107.17836,102.337036,94.12173,91.04787,85.75967
2024-03-22,64.11605,63.39308,61.604073,64.42612,64.01742,70.18694,81.285324,88.361694,93.06606,88.91508,88.241646,76.92911,66.08238,67.17495,63.83082,75.30841,92.59858,100.176895,104.20487,94.85477,90.46654,80.87082,77.108315,69.56323
2024-03-23,53.520256,54.242104,52.25141,53.69995,50.47455,50.843178,60.837845,64.57033,65.7161,61.792618,63.991814,57.174843,46.363297,50.770462,49.245567,60.834114,84.895065,96.9529,100.89102,92.34572,88.676926,75.715706,74.527016,59.48889
2024-03-24,63.545097,63.56288,61.646362,62.4794,56.382988,54.40589,61.402756,66.999306,70.02483,70.62226,75.42058,70.128075,62.069374,65.729225,63.811516,72.240456,90.46327,101.06329,107.17142,101.931175,99.9769,87.01747,83.50726,70.17212
2024-03-25,95.81565,92.12252,88.870804,86.58346,87.45399,94.96165,105.718506,115.253494,121.93388,121.463776,122.91051,116.33978,110.188774,112.26036,107.825195,113.191315,128.55309,133.73001,140.05939,131.98941,127.17972,114.016624,108.96833,101.35981
2024-03-26,79.95793,79.61485,78.31378,79.02387,78.854546,84.51449,94.27509,99.79616,102.15749,97.55055,97.128426,89.546005,80.492966,82.677345,80.766655,90.79463,107.02661,112.66722,114.47749,105.99948,102.60111,94.94705,92.258606,85.69757
2024-03-27,74.6667,73.81399,71.87245,73.24815,72.553154,79.19086,89.00907,95.436386,97.61923,94.344986,94.69793,88.26976,80.87859,83.20574,80.26011,87.806854,101.54832,106.81046,110.85579,104.748955,103.72633,95.63733,92.03922,84.02133
2024-03-28,72.98574,72.89386,70.93203,72.522285,71.83529,78.188774,87.87315,94.39682,97.38063,94.09689,94.559525,88.21096,81.75974,84.527435,81.2607,87.476425,99.21918,103.32592,107.26906,100.86468,99.45243,91.703224,88.03198,81.3244
2024-03-29,66.065796,67.5524,66.677086,69.23357,66.371605,65.935394,73.02428,75.323044,76.23613,72.1859,73.813675,66.07289,55.787506,58.75721,58.31765,70.06312,88.8357,99.222084,101.31889,94.34727,89.60763,80.30913,78.33724,68.01163
2024-03-30,71.399956,72.91262,72.35941,74.15014,70.34633,66.21575,71.62524,72.14243,72.89267,69.24354,72.21885,64.581696,53.120422,56.116386,56.840927,70.07808,91.15857,103.69802,104.79267,97.54708,91.20854,81.21887,79.80903,68.72871
2024-03-31,77.05315,77.422676,75.97282,76.899376,74.374,73.61655,81.468956,85.1588,89.248886,86.580345,88.31459,81.27183,72.428566,75.07276,73.17443,80.96227,97.72089,106.41571,109.5518,101.93804,97.127815,87.16192,85.64321,76.22561
2024-04-01,61.66944,62.476044,61.461777,64.44625,61.944443,64.43803,72.77695,76.844086,77.537025,74.883385,76.54647,70.29901,61.620155,64.53338,62.331955,71.426216,88.986755,97.91969,102.16294,96.15599,94.008415,83.61926,80.99869,69.51722
2024-04-02,68.47871,68.38904,66.76293,68.98606,68.17459,74.23403,84.91366,92.51348,97.1801,93.48569,92.86913,83.30269,74.64449,76.35556,72.87943,81.78641,96.09644,101.454704,105.37461,96.70471,93.22654,84.69951,81.04949,74.900505
2024-04-03,65.42101,65.17581,63.36714,66.257645,65.66097,73.03531,83.97774,91.68132,95.72858,92.7802,92.23826,84.1674,76.86633,78.72926,74.38729,80.86182,93.64,98.43194,103.75883,96.70909,95.15217,86.26385,82.553764,74.99923
2024-04-04,65.499245,65.96202,64.252235,66.603905,65.8149,72.186554,83.7265,92.01479,97.419785,92.78922,91.1045,80.40968,71.51756,73.35419,69.915955,79.281006,93.603584,98.55937,102.17202,92.4776,88.30909,80.281845,76.95512,71.59921
2024-04-05,60.453247,60.566154,58.445747,61.046143,60.241753,64.870766,76.35146,82.886086,88.125626,82.71169,81.58143,69.49579,58.037796,59.88035,57.21472,69.446945,87.95834,96.407715,99.72732,89.346344,83.650856,74.131294,71.33905,63.407623
2024-04-06,53.18976,53.870415,52.680412,54.655663,55.009018,57.513214,70.42525,72.16119,70.47768,61.903893,59.839798,49.837837,38.67099,41.65576,38.21161,45.2977,67.73059,79.70311,86.67885,83.66804,82.879166,71.59098,71.3602,54.97471
2024-04-07,51.87024,53.551086,52.08204,53.40146,47.574112,45.520004,54.725647,58.71643,61.869736,59.938293,61.971123,54.768112,42.746643,47.15119,46.8013,59.738106,86.39592,100.33781,104.86239,95.73487,91.047226,75.75523,75.17615,58.311775
2024-04-08,54.71505,55.192406,53.904953,57.880722,56.591972,63.83731,74.98229,82.52351,85.2387,82.01534,81.51716,72.4202,63.77565,65.75674,61.28305,69.98235,86.1937,93.820724,100.65528,93.41291,90.673584,79.43976,75.21415,65.54843
2024-04-09,72.943794,72.46836,70.85371,73.60131,73.27145,79.7438,90.21519,97.86756,103.52609,100.47766,99.37896,89.72865,81.75134,82.613075,78.440956,85.32719,97.21547,101.86433,106.5174,98.77703,95.61772,87.56073,83.904366,78.35211
2024-04-10,59.661346,60.283478,58.494675,61.395836,61.592117,70.55433,82.77784,90.74473,94.5377,90.44371,89.2154,81.407104,74.364685,77.1842,72.59121,79.00875,92.378845,95.993515,100.68413,92.08271,90.36969,81.37739,78.08283,70.983604
2024-04-11,51.429,51.81591,49.58143,53.16017,53.404602,63.15039,76.92031,85.58235,90.07106,84.485176,82.02012,70.646385,61.02791,63.278755,58.24875,67.68846,84.8173,92.16083,99.08657,89.56161,85.17304,73.83266,69.84844,61.0429
2024-04-12,48.024277,48.704178,46.610023,50.12381,51.078644,58.960472,72.644516,78.277374,81.71033,74.54556,72.417625,60.44612,47.835243,50.59871,46.947044,59.928314,82.88673,93.36453,98.218475,86.675674,80.17819,67.507866,65.08125,53.927567
2024-04-13,53.830345,54.447052,53.732315,55.964172,58.228798,62.658813,76.912895,77.250374,72.62319,60.48237,55.605568,43.517746,30.840485,33.04785,30.071777,38.28897,61.80465,74.46668,81.41514,80.72695,81.0757,71.76276,72.04483,55.05815
2024-04-14,51.862206,53.954216,52.964745,55.12166,51.18535,50.10061,59.174545,61.289,62.437973,57.931236,59.09842,50.64479,37.187225,41.317657,41.751526,57.37214,84.9111,99.057274,101.29613,91.313255,85.313324,71.87463,71.507484,56.194405
2024-04-15,51.302795,50.680138,47.36914,49.191,49.355576,60.603355,76.22307,85.15424,88.31697,80.068504,76.96993,62.738823,50.069077,52.777473,46.907608,59.922485,85.160194,101.17963,114.71801,105.6825,95.69326,77.34609,71.154144,57.26805
2024-04-16,51.632637,52.188087,49.39425,52.117027,52.09954,63.04212,77.54561,86.48245,89.699486,82.52271,79.44646,67.57644,57.875366,60.91826,55.41755,65.108925,84.19535,95.008484,105.76979,97.58121,90.89763,76.69433,71.45097,60.548584
2024-04-17,68.650764,69.622185,68.36975,71.20442,70.59115,76.33026,86.257256,91.762375,94.10454,88.61873,86.92505,77.75098,68.66289,70.75272,68.896324,79.138954,93.84968,99.894455,102.24848,94.52515,91.0152,84.266266,81.641945,75.00991
